cm-1,n
5743.939800781251,1.3102
5774.7952734375,1.3105
5805.65074609375,1.3108
5836.506218750001,1.311
5867.36169140625,1.3113
5898.2171640625,1.3116
5929.072636718751,1.3118
5959.9281093750005,1.312
5990.78358203125,1.3123
6021.6390546875,1.3125
6052.494527343751,1.3127
6083.35,1.313
6114.2024375,1.3132
6145.057910156251,1.3134
6175.9133828125005,1.3136
6206.76885546875,1.3138
6237.624328125,1.314
6268.479800781251,1.3142
6299.3352734375,1.3144
6330.19074609375,1.3145
6361.046218750001,1.3147
6391.90169140625,1.3149
6422.7571640625,1.3151
6453.61263671875,1.3152
6484.4681093750005,1.3154
6515.32358203125,1.3156
6546.1790546875,1.3157
6577.034527343751,1.3159
6607.89,1.316
6638.7424375,1.3162
6669.597910156251,1.3163
6700.4533828125,1.3165
6731.30885546875,1.3166
6762.164328125,1.3167
6793.0198007812505,1.3168
6823.8752734375,1.3169
6854.73074609375,1.317
6885.586218750001,1.3171
6916.44169140625,1.3172
6947.2971640625,1.3173
6978.152636718751,1.3174
7009.0081093750005,1.3175
7039.86358203125,1.3176
7070.7190546875,1.3176
7101.574527343751,1.3177
7132.43,1.3178
7163.292437499999,1.3179
7194.14791015625,1.3181
7225.0033828125,1.3182
7255.858855468749,1.3183
7286.714328124999,1.3185
7317.56980078125,1.3186
7348.4252734374995,1.3187
7379.280746093749,1.3188
7410.13621875,1.3189
7440.99169140625,1.319
7471.847164062499,1.3191
7502.70263671875,1.3192
7533.558109375,1.3193
7564.4135820312495,1.3194
7595.269054687499,1.3195
7626.12452734375,1.3196
7656.98,1.3197
7687.8324375,1.3198
7718.687910156251,1.3199
7749.543382812501,1.32
7780.39885546875,1.3201
7811.254328125,1.3202
7842.109800781251,1.3203
7872.9652734375,1.3204
7903.82074609375,1.3204
7934.676218750001,1.3205
7965.5316914062505,1.3206
7996.3871640625,1.3207
8027.242636718751,1.3208
8058.098109375001,1.3208
8088.95358203125,1.3209
8119.8090546875,1.321
8150.664527343751,1.3211
8181.52,1.3211
8212.3724375,1.3212
8243.227910156249,1.3213
8274.0833828125,1.3214
8304.93885546875,1.3214
8335.794328124999,1.3215
8366.64980078125,1.3216
8397.505273437499,1.3217
8428.36074609375,1.3217
8459.21621875,1.3218
8490.071691406249,1.3219
8520.9271640625,1.3219
8551.78263671875,1.322
8582.638109374999,1.3221
8613.49358203125,1.3221
8644.3490546875,1.3222
8675.204527343749,1.3222
8706.06,1.3223
8736.922437500001,1.3224
8767.77791015625,1.3224
8798.6333828125,1.3225
8829.488855468751,1.3226
8860.344328125,1.3226
8891.19980078125,1.3227
8922.055273437501,1.3227
8952.91074609375,1.3228
8983.766218750001,1.3229
9014.62169140625,1.3229
9045.4771640625,1.323
9076.332636718751,1.323
9107.188109375,1.3231
9138.04358203125,1.3231
9168.899054687501,1.3232
9199.75452734375,1.3233
9230.61,1.3233
9261.4624375,1.3234
9292.31791015625,1.3234
9323.1733828125,1.3235
9354.02885546875,1.3235
9384.884328125,1.3236
9415.73980078125,1.3236
9446.595273437499,1.3237
9477.45074609375,1.3237
9508.30621875,1.3238
9539.161691406249,1.3238
9570.0171640625,1.3239
9600.87263671875,1.3239
9631.728109374999,1.324
9662.58358203125,1.324
9693.4390546875,1.3241
9724.294527343749,1.3241
9755.15,1.3242
9786.012437500001,1.3242
9816.86791015625,1.3243
9847.7233828125,1.3243
9878.578855468751,1.3244
9909.434328125,1.3244
9940.289800781251,1.3245
9971.145273437502,1.3245
10002.00074609375,1.3246
10032.856218750001,1.3246
10063.71169140625,1.3246
10094.5671640625,1.3247
10125.422636718751,1.3247
10156.278109375,1.3248
10187.13358203125,1.3248
10217.989054687501,1.3249
10248.84452734375,1.3249
10279.7,1.325
10310.512437500001,1.325
10341.36791015625,1.325
10372.2233828125,1.3251
10403.078855468751,1.3251
10433.934328125,1.3252
10464.789800781251,1.3252
10495.645273437502,1.3253
10526.50074609375,1.3253
10557.356218750001,1.3253
10588.21169140625,1.3254
10619.0671640625,1.3254
10649.922636718751,1.3255
10680.778109375,1.3255
10711.63358203125,1.3255
10742.489054687501,1.3256
10773.34452734375,1.3256
10804.2,1.3257
10835.1124375,1.3257
10865.967910156249,1.3258
10896.8233828125,1.3258
10927.67885546875,1.3258
10958.534328124999,1.3259
10989.38980078125,1.3259
11020.2452734375,1.326
11051.100746093749,1.326
11081.95621875,1.326
11112.811691406248,1.3261
11143.667164062499,1.3261
11174.52263671875,1.3261
11205.378109374999,1.3262
11236.23358203125,1.3262
11267.0890546875,1.3263
11297.944527343749,1.3263
11328.8,1.3263
11359.6124375,1.3264
11390.467910156249,1.3264
11421.3233828125,1.3264
11452.17885546875,1.3265
11483.034328124999,1.3265
11513.88980078125,1.3266
11544.7452734375,1.3266
11575.600746093749,1.3266
11606.45621875,1.3267
11637.311691406248,1.3267
11668.167164062499,1.3267
11699.02263671875,1.3268
11729.878109374999,1.3268
11760.73358203125,1.3269
11791.5890546875,1.3269
11822.444527343749,1.3269
11853.3,1.327
11884.2124375,1.327
11915.06791015625,1.327
11945.9233828125,1.3271
11976.77885546875,1.3271
12007.634328125,1.3271
12038.48980078125,1.3272
12069.345273437499,1.3272
12100.20074609375,1.3272
12131.05621875,1.3273
12161.911691406249,1.3273
12192.7671640625,1.3274
12223.62263671875,1.3274
12254.478109374999,1.3274
12285.33358203125,1.3275
12316.1890546875,1.3275
12347.044527343749,1.3275
12377.9,1.3276
12408.7124375,1.3276
12439.56791015625,1.3276
12470.4233828125,1.3277
12501.27885546875,1.3277
12532.134328125,1.3277
12562.98980078125,1.3278
12593.845273437499,1.3278
12624.70074609375,1.3278
12655.55621875,1.3279
12686.411691406249,1.3279
12717.2671640625,1.3279
12748.12263671875,1.328
12778.978109374999,1.328
12809.83358203125,1.328
12840.6890546875,1.3281
12871.544527343749,1.3281
12902.4,1.3281
12933.3124375,1.3282
12964.16791015625,1.3282
12995.0233828125,1.3282
13025.87885546875,1.3283
13056.734328125,1.3283
13087.58980078125,1.3283
13118.4452734375,1.3284
13149.30074609375,1.3284
13180.15621875,1.3284
13211.01169140625,1.3285
13241.8671640625,1.3285
13272.72263671875,1.3285
13303.578109375,1.3286
13334.43358203125,1.3286
13365.2890546875,1.3286
13396.14452734375,1.3287
13427.0,1.3287
13457.8124375,1.3287
13488.66791015625,1.3288
13519.5233828125,1.3288
13550.37885546875,1.3288
13581.234328125,1.3289
13612.08980078125,1.3289
13642.9452734375,1.3289
13673.80074609375,1.329
13704.65621875,1.329
13735.51169140625,1.329
13766.3671640625,1.3291
13797.22263671875,1.3291
13828.078109375,1.3291
13858.93358203125,1.3292
13889.7890546875,1.3292
13920.64452734375,1.3292
13951.5,1.3293
13982.3124375,1.3293
14013.16791015625,1.3293
14044.0233828125,1.3294
14074.87885546875,1.3294
14105.734328125,1.3294
14136.58980078125,1.3295
14167.4452734375,1.3295
14198.30074609375,1.3295
14229.15621875,1.3295
14260.01169140625,1.3296
14290.8671640625,1.3296
14321.72263671875,1.3296
14352.578109375,1.3297
14383.43358203125,1.3297
14414.2890546875,1.3297
14445.14452734375,1.3298
14476.0,1.3298
14506.912437500001,1.3298
14537.76791015625,1.3299
14568.6233828125,1.3299
14599.478855468751,1.3299
14630.334328125,1.33
14661.18980078125,1.33
14692.0452734375,1.33
14722.90074609375,1.3301
14753.75621875,1.3301
14784.61169140625,1.3301
14815.4671640625,1.3302
14846.32263671875,1.3302
14877.178109375,1.3302
14908.03358203125,1.3303
14938.8890546875,1.3303
14969.74452734375,1.3303
15000.6,1.3304
